time_utc,ch4,co2_ppm
YYYY-MM-DD HH:mm,ppb,ppm
2023-05-08 11:05,5172.2,453.47
2023-05-08 12:05,5213.3,459.58
2023-05-08 13:05,4161.1,450.88
2023-05-08 14:05,3877.0,445.28
2023-05-08 15:05,3372.6,442.92
2023-05-08 16:05,2747.4,437.4
2023-05-08 17:05,2307.1,428.62
2023-05-08 18:05,2084.1,426.27
2023-05-08 19:05,2036.6,425.25
2023-05-08 20:05,2044.7,425.62
2023-05-08 21:05,2044.3,425.43
2023-05-08 22:05,2050.6,425.79
2023-05-08 23:05,2084.9,426.02
2023-05-09 00:05,2129.2,426.72
2023-05-09 01:05,1985.8,425.19
2023-05-09 02:05,2239.5,427.6
2023-05-09 03:05,2272.0,427.96
2023-05-09 04:05,2599.3,432.16
2023-05-09 05:05,2354.8,429.91
2023-05-09 06:05,3604.2,442.09
2023-05-09 07:05,3719.7,442.21
2023-05-09 08:05,3737.4,446.35
2023-05-09 09:05,3372.6,443.9
2023-05-09 10:05,3309.1,437.59
2023-05-09 11:05,3006.6,436.14
2023-05-09 12:05,3960.1,439.17
2023-05-09 13:05,4167.9,463.44
2023-05-09 14:05,3061.9,439.31
2023-05-09 15:05,2642.3,433.58
2023-05-09 16:05,2428.3,431.93
2023-05-09 17:05,2278.5,429.75
2023-05-09 18:05,2199.0,429.23
2023-05-09 19:05,2106.2,427.05
2023-05-09 20:05,2054.3,426.23
2023-05-09 21:05,2024.0,425.92
2023-05-09 22:05,2027.2,426.04
2023-05-09 23:05,4477.4,426.06
2023-05-10 00:05,2015.5,425.59
2023-05-10 01:05,2171.1,427.47
2023-05-10 02:05,2142.2,428.46
2023-05-10 03:05,2428.0,431.42
2023-05-10 04:05,2471.2,432.09
2023-05-10 05:05,2768.9,432.32
2023-05-10 06:05,2128.6,427.63
2023-05-10 07:05,2210.1,429.6
2023-05-10 08:05,2633.7,433.98
2023-05-10 09:05,2933.0,439.7
2023-05-10 10:05,2676.2,435.67
2023-05-10 11:05,4328.1,445.7
2023-05-10 12:05,4036.5,442.0
2023-05-10 13:05,4271.7,459.92
2023-05-10 14:05,4004.1,438.13
2023-05-10 15:05,2288.8,428.7
2023-05-10 16:05,2186.0,427.38
2023-05-10 17:05,2113.2,426.54
2023-05-10 18:05,2079.5,425.97
2023-05-10 19:05,2116.5,426.09
2023-05-10 20:05,2048.5,425.86
2023-05-10 21:05,2110.9,425.7
2023-05-10 22:05,1968.4,425.18
2023-05-10 23:05,2065.8,425.77
2023-05-11 00:05,2330.6,425.8
2023-05-11 01:05,2133.9,426.11
2023-05-11 02:05,2324.9,427.51
2023-05-11 03:05,2318.6,430.0
2023-05-11 04:05,1979.8,425.28
2023-05-11 05:05,1967.1,425.01
2023-05-11 06:05,1974.9,425.59
2023-05-11 07:05,1999.7,426.56
2023-05-11 08:05,2169.8,428.8
2023-05-11 09:05,2128.9,427.09
2023-05-11 10:05,2182.3,427.96
2023-05-11 11:05,2179.4,428.0
2023-05-11 12:05,2546.9,434.56
2023-05-11 13:05,2933.6,431.96
2023-05-11 14:05,2456.4,429.9
2023-05-11 15:05,2399.4,428.53
2023-05-11 16:05,2417.0,425.7
2023-05-11 17:05,1977.2,424.78
2023-05-11 18:05,1968.4,423.88
2023-05-11 19:05,1964.0,423.88
2023-05-11 20:05,1967.4,423.94
2023-05-11 21:05,2078.3,425.85
2023-05-11 22:05,1976.0,424.22
2023-05-11 23:05,1969.1,424.12
2023-05-12 00:05,1980.8,424.83
2023-05-12 01:05,1982.1,424.52
2023-05-12 02:05,2094.4,425.45
2023-05-12 03:05,2058.4,432.23
2023-05-12 04:05,2651.5,434.06
2023-05-12 05:05,3007.1,437.05
2023-05-12 06:05,3671.1,434.49
2023-05-12 07:05,3497.2,442.09
2023-05-12 08:05,5436.3,441.9
2023-05-12 09:05,5083.4,445.83
2023-05-12 10:05,3566.5,445.58
2023-05-12 11:05,4809.4,452.06
2023-05-12 12:05,2963.6,444.43
2023-05-12 13:05,4277.3,443.7
2023-05-12 14:05,3493.1,443.48
2023-05-12 15:05,3141.8,438.24
2023-05-12 16:05,2700.2,433.8
2023-05-12 17:05,2500.5,431.69
2023-05-12 18:05,2301.9,428.28
2023-05-12 19:05,2311.9,428.02
2023-05-12 20:05,2088.2,425.86
2023-05-12 21:05,2040.4,425.31
2023-05-12 22:05,2074.8,426.01
2023-05-12 23:05,2091.8,426.23
2023-05-13 00:05,2161.0,428.0
2023-05-13 01:05,2130.0,427.61
2023-05-13 02:05,2064.1,427.32
2023-05-13 03:05,2095.4,427.61
2023-05-13 04:05,2216.0,429.14
2023-05-13 05:05,2294.2,429.6
2023-05-13 06:05,2248.2,430.16
2023-05-13 07:05,2293.0,430.65
2023-05-13 08:05,2368.6,431.25
2023-05-13 09:05,2415.0,431.79
2023-05-13 10:05,2386.2,432.74
2023-05-13 11:05,2269.1,432.99
2023-05-13 12:05,2594.9,441.1
2023-05-13 13:05,2320.3,433.91
2023-05-13 14:05,2237.4,430.14
2023-05-13 15:05,2255.6,429.06
